county,2014,2019,2021,delta_2014_2021
Del Norte,10.878502178350656,14.977374858564971,21.366216027372356,10.4877138490217
Imperial ,32.73855988116217,39.931046121488876,40.41607009735257,7.677510216190406
Lake ,14.338353046196296,18.70221099163136,21.380735022221568,7.042381976025272
Humboldt ,12.505273046889323,15.895411879383998,18.550176943424788,6.044903896535464
Solano ,19.316685667887114,23.018079801873117,24.7757460713891,5.4590604035019865
Sutter ,26.803986400211357,27.228822953731374,31.702736303315955,4.898749903104598
Trinity ,9.859593523605543,9.412823741281313,14.146271870122643,4.2866783465171
Yolo ,18.450879950243138,20.349639367363363,22.528639697153285,4.0777597469101465
Los Angeles,33.98754319291599,36.493198440421914,37.98439392380469,3.9968507308886956
Santa Barbara,15.727892507801576,15.401732259038384,19.523025816258198,3.795133308456622
Sonoma ,15.192425046140887,16.030542550071,14.88064175994133,-0.31178328619955664
Marin ,10.30624552253903,8.81230738218511,9.927998991862255,-0.3782465306767744
Riverside ,27.466362649121177,29.144437759607147,26.78412185240323,-0.6822407967179451
Tuolumne ,19.473470681091108,20.860289141495088,18.76694402349641,-0.7065266575946971
San Bernardino,34.706861250198,36.06354816253996,33.65274188275634,-1.0541193674416647
Sierra ,19.536053951456,19.9654826601361,18.2791142721043,-1.2569396793516994
Nevada ,13.89016577898025,14.413426134355188,12.609442184407275,-1.2807235945729758
Santa Clara,19.46996064581636,18.537723663980874,17.039067733696893,-2.430892912119468
Fresno ,43.62331783763638,42.96772953486802,40.915469402344094,-2.7078484352922843
Tehama ,29.643465623508153,27.19738736865471,26.031104778706766,-3.612360844801387
