county,year,ces_score
Los Angeles,2014,56.5211033682147
Riverside ,2014,56.3584142960078
Los Angeles,2014,56.3229396793186
Los Angeles,2014,56.2872666630733
Sacramento ,2014,56.2456803120274
Los Angeles,2014,56.220945715402095
San Bernardino,2014,56.1854207807152
Los Angeles,2014,56.086478047766896
Los Angeles,2014,56.0533566856548
Orange ,2014,56.041607748163294
Los Angeles,2014,55.8784469541773
Los Angeles,2014,55.8396579763999
Los Angeles,2014,55.8206430016227
Los Angeles,2014,55.7918640801882
Los Angeles,2014,55.7903240521379
Los Angeles,2014,55.7458146210182
Los Angeles,2014,55.7126389976102
Los Angeles,2014,55.6959313436547
Los Angeles,2014,55.6926426077061
Los Angeles,2014,55.6878190594436
Sacramento ,2014,55.6799874297226
Los Angeles,2014,55.6410043232458
Los Angeles,2014,55.6270913591001
San Diego,2014,55.611312370783295
Los Angeles,2014,55.6050058904057
Los Angeles,2014,55.5644127213896
Los Angeles,2014,55.5503290237678
Los Angeles,2014,55.5178451027491
Los Angeles,2014,55.5067580220444
Los Angeles,2014,55.5056603111147
San Bernardino,2014,55.477679964271296
Los Angeles,2014,55.434135620756095
Los Angeles,2014,55.4296856905552
Los Angeles,2014,55.3833854854896
Los Angeles,2014,55.3464455870395
Los Angeles,2014,55.3444831599344
Los Angeles,2014,55.3128265126552
Los Angeles,2014,55.3019254220856
Riverside ,2014,55.2065808543148
Los Angeles,2014,55.2011063090837
Los Angeles,2014,55.1947454918198
Los Angeles,2014,55.1883786651206
Los Angeles,2014,55.180115552900496
Los Angeles,2014,55.162365671355694
Los Angeles,2014,55.1257296840366
Los Angeles,2014,55.1123806997315
Sacramento ,2014,55.0950868549616
Los Angeles,2014,55.0917813379481
Los Angeles,2014,55.0877287107953
Los Angeles,2014,55.0721694007271
Los Angeles,2014,55.028174450346
Los Angeles,2014,54.9916927178
Los Angeles,2014,54.9747413100591
Los Angeles,2014,54.9242502986223
Los Angeles,2014,54.867704736952895
San Bernardino,2014,54.86444417102
Los Angeles,2014,54.851272546948
Los Angeles,2014,54.8036264299332
Los Angeles,2014,54.7922060334388
San Bernardino,2014,54.7057910708851
Los Angeles,2014,54.70327432691
Los Angeles,2014,54.6785709491124
Los Angeles,2014,54.6774059501443
Riverside ,2014,54.6655179515466
Los Angeles,2014,54.6061110419487
San Bernardino,2014,54.5538187746997
Riverside ,2014,54.5112775911446
Riverside ,2014,54.476224290048094
Los Angeles,2014,54.4740827137375
Los Angeles,2014,54.413893053135
Los Angeles,2014,54.3625115618009
Riverside ,2014,54.3594878709286
Los Angeles,2014,54.3406430752981
Los Angeles,2014,54.3135666004481
Los Angeles,2014,54.3060373448538
San Bernardino,2014,54.2660462154355
San Diego,2014,54.2316556152184
Los Angeles,2014,54.200175269907
San Bernardino,2014,54.184441812197
Santa Clara,2014,54.1417768619896
Los Angeles,2014,54.105339538793
Los Angeles,2014,54.0887716514539
Los Angeles,2014,54.0759390880405
Los Angeles,2014,54.0686874381242
Alameda ,2014,54.0649345016395
Orange ,2014,54.0426236224258
San Bernardino,2014,54.0318886039255
Los Angeles,2014,54.0191224088675
Los Angeles,2014,53.9821970741644
Los Angeles,2014,53.9653081670711
Los Angeles,2014,53.9405807263353
Riverside ,2014,53.9249117472211
Los Angeles,2014,53.8976444066564
San Bernardino,2014,53.8608175914179
