census_tract,2014_traffic,2019_traffic,2021_traffic,2014_asthma,2019_asthma,2021_asthma,delta_traffic,delta_asthma
6001400100,67.1323437694898,64.0180473743577,55.9375,29.400024946987696,6.30844034409675,4.43668993020937,-11.194843769489793,-24.963335016778323
6001400200,81.788699014594,80.5740067677654,37.4875,29.1755020581265,14.636578980177,9.79561316051844,-44.301199014594005,-19.379888897608062
6001400300,81.4394411874766,75.4104524376488,42.475,52.238992141698894,38.3119311806508,26.5702891326022,-38.9644411874766,-25.668703009096696
6001400400,78.1589123113384,73.680912395037,38.0,94.3994012722964,69.9289365415784,55.9820538384845,-40.1589123113384,-38.417347433811905
6001400500,59.9725583135836,47.5498182729665,48.675,98.4283397779718,94.6515397082658,88.3848454636092,-11.2975583135836,-10.043494314362604
6001400600,89.4973181988275,87.5046998370723,67.0625,98.7900710989148,96.8457798279516,93.0707876370887,-22.4348181988275,-5.719283461826095
6001400700,62.429836597230896,45.9080085223712,52.4,98.74017712361228,98.3169180900137,93.8060817547358,-10.029836597230897,-4.934095368876484
6001400800,41.7862043158289,19.5889209174082,34.2125,98.6778096544842,98.50392719112328,95.6256231306082,-7.573704315828898,-3.0521865238759887
6001400900,28.7888237495322,18.799348289259296,27.575,98.8524385680429,99.13975813489589,95.8125623130608,-1.2138237495321995,-3.0398762549821043
6001401000,81.0278158912311,87.1537786690061,77.125,98.8025445927404,97.59381623239,90.3539381854437,-3.9028158912311,-8.448606407296708
6001401100,79.08195085443428,83.6821656849229,83.8875,98.7775976050892,96.8083780077297,93.04586241276168,4.80554914556572,-5.73173519232752
6001401200,68.1052762878882,54.1922546685048,72.9125,98.09155544468008,95.4993142999626,89.5189431704885,4.807223712111792,-8.572612274191584
6001401300,80.8282399900212,79.3457826795338,82.4375,99.3014843457652,93.030794165316,94.9027916251246,1.6092600099787973,-4.398692720640597
6001401400,83.5349881501809,85.6122321092869,77.1625,99.08943495072968,93.7040269293106,86.4780658025922,-6.372488150180899,-12.611369148137484
6001401500,76.5373581140077,63.3663366336634,28.8875,98.88985904951984,97.7808253334996,93.3075772681954,-47.6498581140077,-5.58228178132444
6001401600,54.209804166146895,19.6515854117057,24.8875,99.8004240987901,98.55379628475248,95.4636091724825,-29.322304166146896,-4.336814926307596
6001401700,98.88985904951984,91.7533525504449,90.275,99.66321566670828,98.9901508540082,97.1959122632104,-8.614859049519836,-2.46730340349788
6001401800,4.07883248097792,4.62463967915779,0.6375,99.92515903704628,99.264430868969,98.9780658025922,-3.4413324809779198,-0.947093234454087
6001402200,74.44181115130348,54.931695701215695,60.4625,99.92515903704628,99.264430868969,98.9780658025922,-13.979311151303484,-0.947093234454087
6001402400,23.4751153798179,4.92542925178594,5.8125,99.92515903704628,99.264430868969,98.9780658025922,-17.6626153798179,-0.947093234454087
6001402500,65.9224148684046,33.9641559092618,31.9625,99.92515903704628,99.264430868969,98.9780658025922,-33.9599148684046,-0.947093234454087
6001402600,70.2756642135462,54.7311693194636,51.9875,99.78795060496448,96.09774342351328,97.6196410767697,-18.288164213546196,-2.168309528194783
6001402700,58.7376824248472,42.511592931445,43.4,99.6881626543595,93.1679341727964,92.1610169491525,-15.337682424847202,-7.527145705207005
6001402800,48.097792191592895,26.6950745707482,31.2,99.6257951852314,96.94551801521008,96.1615154536391,-16.897792191592895,-3.464279731592299
6001402900,46.7257078707746,11.6931946359193,18.875,99.5135337408008,96.9704525620247,96.1615154536391,-27.8507078707746,-3.352018287161698
6001403000,72.1841087688662,75.84910389773148,64.3375,99.7754771111388,97.755890786685,96.4730807577268,-7.84660876886619,-3.302396353411993
6001403100,71.7475364849694,69.8959769394661,57.5,99.92515903704628,99.16469268171048,98.8783649052841,-14.247536484969402,-1.0467941317621836
