term,coef,se,t,p
Intercept,1.4861928492882397,,,
C(year)[T.2019],1.1544771560869185,0.20699492371253608,5.577321102280735,2.442507624780093e-08
C(year)[T.2021],1.6420868628755516,0.2038609597378051,8.054935407875616,7.952079082290231e-16
pm25,6.055487646792602,0.14010282529905163,43.22173827592035,0.0
ozone,-0.008120122209646363,0.09767495372304853,-0.0831341290692646,0.9337448886901883
traffic,2.5026593948806086,0.08610419288396098,29.065476500701166,9.809413792942368e-186
Group Var,0.0,,,
