pollution_burden_pctl,poverty_pctl,education_pctl
46.0112009956441,0.0125628140703518,19.7544925335358
53.7398879900436,0.050251256281407,12.0222728423184
24.6048537647791,0.0628140703517588,2.70817514553278
10.1431238332296,0.0753768844221105,36.1807137433561
21.5432482887368,0.0879396984924623,2.30321437610731
32.8313627878034,0.113065326633166,4.21412300683371
19.1412570006223,0.113065326633166,18.8053657301949
8.25140012445551,0.125628140703518,0.835231586940015
15.8307405102676,0.175879396984925,0.620096178182739
15.2084629744866,0.175879396984925,0.835231586940015
10.491599253267,0.175879396984925,3.87243735763098
7.45488487865588,0.175879396984925,7.82080485952923
29.6701929060361,0.201005025125628,13.1106049101493
4.25637834474175,0.226130653266332,6.51733738294103
69.7075295581829,0.28894472361809,7.40318906605922
8.72433105164903,0.28894472361809,10.3138445963047
19.1661481020535,0.351758793969849,0.151860288534548
7.69135034225265,0.351758793969849,6.51733738294103
9.32171748599876,0.452261306532663,9.73171349025563
8.55009334163037,0.452261306532663,5.50493545937737
3.22339763534536,0.50251256281407,30.0303720577069
48.5252022401991,0.50251256281407,8.41559098962288
32.5700062227754,0.552763819095477,12.0222728423184
59.0790292470442,0.603015075376884,3.5180966843837
24.6421904169259,0.603015075376884,13.6674259681093
35.2831362787803,0.603015075376884,1.45532776512275
34.7604231487243,0.615577889447236,13.6674259681093
22.874922215308,0.741206030150754,28.0814983548469
12.6446795270691,0.741206030150754,
57.4486621032981,0.741206030150754,5.09997468995191
0.647168637212197,0.741206030150754,28.0814983548469
3.52209085252022,0.741206030150754,0.835231586940015
21.0827629122589,0.829145728643216,3.5180966843837
91.0516490354698,0.829145728643216,21.6654011642622
11.7485998755445,0.829145728643216,6.94760820045558
19.3030491599253,0.829145728643216,9.28878764869653
4.49284380833852,0.829145728643216,9.73171349025563
15.3080273802116,0.904522613065327,17.2487977727158
29.9813316739266,0.954773869346734,0.151860288534548
19.8257622899813,0.954773869346734,9.28878764869653
3.32296204107032,0.954773869346734,15.7808149835485
44.6172993154947,1.05527638190955,23.6648949633004
31.3130056004978,1.05527638190955,29.6760313844596
6.80771624144368,1.05527638190955,30.8656036446469
13.9763534536403,1.05527638190955,6.94760820045558
8.87367766023647,1.05527638190955,8.41559098962288
2.48911014312383,1.05527638190955,16.7932169071121
