linguistic_isolation_pctl,traffic_pctl,solid_waste_pctl,cardiovascular_disease_pctl
58.2216808769793,89.975,35.7159221076747,32.7143569292124
27.2567329814589,93.95,0.0,38.2352941176471
55.5961564487752,70.6,0.0,11.6276171485543
53.3631073216944,87.25,0.0,28.6141575274177
9.46000812017864,44.6,0.0,10.3564307078764
29.5303830017594,74.6375,2.52004581901489,5.85742771684945
0.0,19.9375,2.52004581901489,33.4995014955135
0.0,87.05,0.0,18.39481555334
26.4041142238463,49.9125,0.0,5.29661016949153
12.2750033834078,52.2375,0.0,41.4506480558325
4.58790093382054,57.275,0.0,17.1610169491525
25.5514954662336,47.3125,0.0,40.6405782652044
59.7915820814725,89.45,0.0,40.4162512462612
22.1680876979294,13.0875,0.0,36.8270189431705
32.0341047503045,99.55,81.1912943871707,0.436191425722831
22.8989037758831,10.35,35.7159221076747,19.9526420737787
5.64352415753147,21.1875,0.0,48.9157527417747
4.58790093382054,,0.0,15.827517447657
29.5303830017594,95.75,0.0,61.5777666999003
65.191500879686,40.3625,0.0,14.5687936191426
53.3631073216944,11.175,63.6655211912944,72.7816550348953
22.1680876979294,58.725,12.8751431844215,35.2318045862413
53.3631073216944,71.3375,52.8980526918671,23.8160518444666
4.58790093382054,83.2375,0.0,59.3594217347956
66.2335904723237,68.3125,0.0,37.9860418743769
15.6448775206388,38.8875,0.0,6.21884346959123
0.514277980782244,17.9,9.66781214203895,17.2357926221336
59.7915820814725,82.975,52.8980526918671,20.2517447657029
39.8294762484775,22.3375,0.0,24.2148554336989
0.0,35.5,22.0847651775487,31.6799601196411
53.3631073216944,13.125,0.0,39.3195413758724
3.73528217620788,17.7625,0.0,45.4636091724825
,55.725,42.3138602520046,77.8165503489531
5.64352415753147,53.3625,67.4684994272623,22.7318045862413
20.584652862363,44.95,0.0,33.0009970089731
35.3363107321694,52.275,0.0,5.85742771684945
0.0,13.2125,22.9553264604811,19.3544366899302
7.37582893490324,63.0,0.0,22.2333000997009
9.46000812017864,81.525,0.0,14.5687936191426
36.4596021112464,65.8625,0.0,1.39581256231306
43.294085803221,55.6625,0.0,33.0009970089731
63.6892678305589,64.15,75.6701030927835,31.9666001994018
22.8989037758831,46.575,0.0,67.4850448654038
44.7557179591284,67.075,0.0,30.4461615154536
40.8986331032616,23.4,79.9541809851088,12.4252243270189
71.6741101637569,15.1125,0.0,18.4571286141575
3.73528217620788,,2.52004581901489,36.0044865403789
40.8986331032616,91.05,81.7411225658648,36.2786640079761
66.8561375016917,86.2125,0.0,24.8878364905284
12.2750033834078,12.175,0.0,76.1714855433699
16.3621599675193,71.8125,52.8980526918671,19.0677966101695
26.4041142238463,12.9,0.0,34.3469591226321
30.0175937203952,24.2875,0.0,28.1156530408774
51.1029909324672,40.225,0.0,16.3260219341974
6.26607118689945,36.4125,54.8453608247423,25.4985044865404
32.6431181485993,2.9,0.0,34.7582253240279
60.6171335769387,64.35,0.0,65.7153539381854
59.3720395182027,76.85,35.7159221076747,29.3743768693918
34.6460955474354,52.0625,0.0,22.3953140578265
28.0416835837055,38.15,0.0,2.85393818544367
19.8673704154825,89.1,0.0,56.5179461615155
6.26607118689945,16.7375,35.7159221076747,12.6620139581256
22.1680876979294,65.65,2.52004581901489,8.66151545363908
46.0008120178644,87.3125,0.0,26.6699900299103
29.5303830017594,52.9125,70.4238258877434,35.9047856430708
0.0,74.9,0.0,12.3753738783649
64.1358776559751,82.4875,0.0,7.21585244267198
10.4479631885235,65.7625,0.0,19.6784646061815
10.4479631885235,8.2375,42.3138602520046,12.5997008973081
4.58790093382054,15.125,0.0,34.7208374875374
47.0835025037217,87.8875,86.5063001145475,7.21585244267198
28.7995669238057,83.625,0.0,9.38434695912263
10.4479631885235,4.275,0.0,2.34297108673978
10.4479631885235,73.25,0.0,24.4391824526421
0.0,89.475,22.0847651775487,37.4127617148554
64.8125592096359,61.175,0.0,37.9860418743769
19.8673704154825,92.65,39.7250859106529,28.4521435692921
7.37582893490324,8.95,0.0,13.0982053838485
2.81499526322912,74.9125,0.0,9.92023928215354
43.8760319393693,76.15,0.0,15.1046859421735
68.6561104344296,14.5,0.0,11.839481555334
8.48558668290702,73.275,0.0,64.4940179461615
17.2553796183516,40.9,53.4249713631157,24.8878364905284
2.81499526322912,15.4625,43.9404352806415,11.4406779661017
5.64352415753147,30.7375,0.0,1.75722831505484
20.584652862363,27.9125,0.0,45.8000997008973
53.3631073216944,60.7375,2.52004581901489,3.72632103688933
54.5811341182839,91.425,0.0,15.6655034895314
68.1553660847205,68.8625,0.0,37.9860418743769
