year,param,with_data,without_data,expected_total,coverage_rate
2014,44201,49,9,58,0.8448275862068966
2014,88101,44,14,58,0.7586206896551724
2019,44201,49,9,58,0.8448275862068966
2019,88101,46,12,58,0.7931034482758621
2021,44201,49,9,58,0.8448275862068966
2021,88101,46,12,58,0.7931034482758621
