Census Tract,Total Population,California County,ZIP,Approximate Location,Longitude,Latitude,CES_score,CES_percentile,CES_percentile_range,Ozone,Ozone Pctl,PM2.5,PM2.5 Pctl,Traffic,Traffic Pctl,Pollution Burden,Pollution Burden Score,Pollution Burden Pctl,Asthma,Asthma Pctl,year
6019001100,3174,Fresno ,93706,Fresno,-119.7816961,36.7096952,89.2161873033717,100.0,96-100% (highest scores),0.255228,80.8694262426083,14.74608667,97.8348439073515,1217.53568,66.9452413621055,78.6211274701372,9.53097345132743,99.9502177971375,130.748821,99.0270674816016,2014
6019000300,3609,Fresno ,93706,Fresno,-119.8010347,36.726462,83.7075502052168,99.98745766963502,96-100% (highest scores),0.28713,83.2827233498482,14.61961825,97.5704934541793,666.915834,36.060870649869,71.967758101043,8.72445144866044,99.4523957685128,132.4,99.1892229013347,2014
6019000200,3167,Fresno ,93706,Fresno,-119.8055044,36.7354914,83.4688033630302,99.97491533927003,96-100% (highest scores),0.304446,84.4014703532044,14.55465574,97.4697885196375,1012.283892,59.6856679555944,72.4085777803154,8.7779124742393,99.5395146235221,132.321225,99.1143819383809,2014
6019001500,2206,Fresno ,93725,Fresno,-119.7178427,36.6816,83.0783971184462,99.96237300890506,96-100% (highest scores),0.225687,78.2483618347451,14.93764894,98.0614300100705,785.580102,45.4284645129101,78.999408526904,9.57679718753788,99.9626633478531,69.533088,87.1772483472621,2014
6019000600,6161,Fresno ,93721,Fresno,-119.7933565,36.743063,82.9543905171684,99.94983067854008,96-100% (highest scores),0.327935,85.8078951574237,14.50641288,97.3313192346425,838.783805,49.3700885618062,71.3804231389702,8.65317008122197,99.3154947106409,116.899716,97.9418735187726,2014
6071001600,6133,San Bernardino,91761,Ontario,-117.6180131,34.0577805,80.7000600651254,99.93728834817509,96-100% (highest scores),0.465401,92.5043950775132,13.88822372,96.1858006042296,1232.874128,67.4067606336535,80.8003730277721,9.79512668202206,99.9875544492844,44.909559,60.6586004739928,2014
6019000902,5252,Fresno ,93706,Fresno,-119.8042772,36.717769,80.0460661898412,99.92474601781011,96-100% (highest scores),0.269893,81.9082627457248,14.67323087,97.7341389728097,352.831826,14.0950480229512,66.0301163405624,8.00460661898412,97.3739887990044,132.4,99.1892229013347,2014
6019000502,3606,Fresno ,93701,Fresno,-119.781537,36.7444057,78.8357950836257,99.91220368744513,96-100% (highest scores),0.335804,86.2234297586703,14.4963366,97.306143001007,1467.881111,73.0198328551827,66.2913028771671,8.0362468177961,97.5855631611699,116.326106,97.8795060496445,2014
6019000901,3151,Fresno ,93706,Fresno,-119.804301,36.7104697,77.8617709826705,99.89966135708015,96-100% (highest scores),0.258082,81.0612114431836,14.7188158,97.7844914400806,415.383766,17.5377323188225,67.8777068207339,8.22863377379076,98.3447417548226,132.4,99.1892229013347,2014
6037206050,2146,Los Angeles,90023,Los Angeles,-118.2244531,34.0299036,77.801778096431,99.88711902671517,96-100% (highest scores),0.020888,40.6584625219754,12.69665284,87.0342396777442,4181.53668,97.2308843707122,73.8023081270269,8.94678142805189,99.7635345364032,56.571369,76.9988773855557,2014
6019007100,7904,Fresno ,93662,Selma,-119.6279131,36.5629769,76.8438034965732,99.87457669635018,96-100% (highest scores),0.235373,79.1913057375739,15.56077487,98.6404833836858,868.095374,51.315953598603,70.4502764305711,8.54042914292642,99.1412570006223,71.865585,88.2749158039167,2014
6019001000,4106,Fresno ,93706,Fresno,-119.804314,36.6977507,76.6446768618002,99.8620343659852,96-100% (highest scores),0.2407,79.7346971392041,14.79423638,97.8726082578046,240.282665,8.36971435699139,66.4017642585527,8.04970299430234,97.6726820161792,132.4,99.1892229013347,2014
6037432801,2568,Los Angeles,91731,El Monte,-118.0467069,34.0769216,76.3244126587,99.84949203562022,96-100% (highest scores),0.094606,63.4329550902989,12.77358643,88.8972809667674,1497.56685,73.5811400773357,71.2052821904315,8.63195538853194,99.2532669570628,46.86,63.6647124859673,2014
6019000501,2815,Fresno ,93721,Fresno,-119.774839,36.7426787,75.5617902138716,99.83694970525524,96-100% (highest scores),0.331632,86.015662458047,14.50795106,97.3439073514602,1623.278001,75.6517400523887,64.3625195817467,7.80252151775973,96.502800248911,102.950324,96.8691530497692,2014
6029002500,9122,Kern ,93307,Bakersfield,-118.9920281,35.3372541,75.5000205505052,99.82440737489026,96-100% (highest scores),0.311425,84.832987054499,16.90871037,99.3580060422961,967.508603,57.2907571410752,66.083538602876,8.01115286701418,97.4113254511512,55.93,76.0384183609829,2014
6019002400,4959,Fresno ,93703,Fresno,-119.7810169,36.758343,75.202955451403,99.81186504452528,96-100% (highest scores),0.378935,88.8285120664855,14.38535783,97.0417925478348,1519.034052,73.9678183859299,64.9048280338965,7.86822645169111,96.8263845675171,105.497779,97.2683048521891,2014
