census_tract,2014,2021,delta_2014_2021,county
6037120010,34.2985875851445,68.4345230332911,34.1359354481466,Los Angeles
6037131020,28.369253614117305,57.5109450973001,29.141691483182797,Los Angeles
6037117408,40.2789862860099,68.9578570982497,28.6788708122398,Los Angeles
6067005301,40.7507591516872,68.7093522369299,27.958593085242704,Sacramento 
6095250701,37.4834207111116,65.1211232586018,27.6377025474902,Solano 
6037127210,37.9736953684624,65.3697160134319,27.396020644969497,Los Angeles
6085512603,28.03704513538,55.2796493658718,27.242604230491796,Santa Clara
6037291110,39.33317991089449,66.5389966056171,27.205816694722607,Los Angeles
6037542402,53.9821970741644,80.7088130303389,26.726615956174506,Los Angeles
6037570402,44.6475120705746,71.2143346008294,26.566822530254804,Los Angeles
