census_tract,delta_2014_2021
6001400100,-7.27076615267745
6001400200,-4.22596198501385
6001400300,-0.5930662862704992
6001400400,0.5902014349242002
6001400500,-1.1802127667593005
6001400600,3.3653949071659994
6001400700,9.240952966767598
6001400800,11.615512095409102
6001400900,19.533728980971
6001401000,12.486676677950701
6001401100,8.579241117585699
6001401200,4.6117921836268
6001401300,5.756124012269602
6001401400,4.313362015608895
6001401500,11.307842995135097
6001401600,12.334189834848793
6001401700,4.8097635505399055
6001401800,13.7620543997172
6001402200,23.1125934590897
6001402400,-1.7209875349616013
6001402500,9.799322746177502
6001402600,0.4157268401433001
6001402700,0.11464576004399873
6001402800,2.1052623130713
6001402900,2.796704795413106
6001403000,9.617940780044798
6001403100,5.519860075402903
6001403300,15.458603278905102
6001403400,-0.2880375557190007
6001403501,-4.716762940693702
6001403502,4.283787714689698
6001403600,8.7832987335874
6001403701,2.5946819110970996
6001403702,-0.3172487388172005
6001403800,3.19191684101831
6001403900,3.3566761950268997
6001404000,-2.8030899678371703
6001404101,-1.5472409180483204
6001404102,-6.532218359148795
6001404200,-3.9600632477557607
6001404300,-5.349941627366808
6001404400,-3.868884624072499
6001404501,-6.3221513653381205
6001404502,-1.3577469119808798
6001404600,-1.948485376677099
6001404700,-5.5645088879862294
6001404800,-0.4512226814377005
6001404900,-3.150435531499701
6001405000,-5.626830899431851
6001405100,-4.349179575150379
6001405200,-0.3561312068380005
6001405301,5.537246479484303
6001405302,-0.7987280646031962
6001405401,1.133035158332703
6001405402,3.9319147279122006
6001405500,3.200861766256299
6001405600,-2.8412253076363996
6001405700,3.454689299502398
6001405800,3.2206121035328046
6001405901,5.5453282867521025
6001405902,8.084089694378797
6001406000,8.7234139366914
6001406100,16.267921851157404
6001406201,11.254693941828101
6001406202,9.2020522427094
6001406300,4.150380569015695
6001406400,-6.741317236547598
6001406500,7.6579341726252
6001406601,1.8755738228066008
6001406602,8.6685190643312
6001406700,-4.442048199333
6001406800,-1.0196407960354001
6001406900,2.8637115219781
6001407000,3.9987070884062987
6001407101,2.178330404476899
6001407102,5.255223897672803
6001407200,10.8744297652893
6001407300,23.464548133597496
6001407400,10.147612779871999
6001407500,6.272712320901498
6001407600,0.47088808284780015
6001407700,-0.1413660881598009
6001407800,-0.8024189251758997
6001407900,1.9669079197677988
6001408000,-4.6726754594347195
6001408100,0.22995008288050123
6001408200,7.3874599402284975
6001408300,11.7650209535743
6001408400,4.651077004529601
6001408500,5.779377223339306
6001408600,5.671659766144497
6001408700,-0.2017438975875976
6001408800,6.941967542438498
6001408900,13.259347692394101
6001409000,16.1673704620488
6001409100,18.254960206944197
6001409200,-1.3211425049428982
6001409300,-3.682476387218898
6001409400,9.321656268419801
6001409500,14.121466658054906
6001409600,4.364585986996602
6001409700,-1.110608774916102
6001409800,8.248908085431598
6001409900,6.875423915632201
6001410000,2.3332610575643002
