geoid,delta_2014_2021
06001400100,-7.27076615267745
06001400200,-4.22596198501385
06001400300,-0.5930662862704992
06001400400,0.5902014349242002
06001400500,-1.1802127667593005
06001400600,3.3653949071659994
06001400700,9.240952966767598
06001400800,11.615512095409102
06001400900,19.533728980971
06001401000,12.486676677950701
06001401100,8.579241117585699
06001401200,4.6117921836268
06001401300,5.756124012269602
06001401400,4.313362015608895
06001401500,11.307842995135097
06001401600,12.334189834848793
06001401700,4.8097635505399055
06001401800,13.7620543997172
06001402200,23.1125934590897
06001402400,-1.7209875349616013
06001402500,9.799322746177502
06001402600,0.4157268401433001
06001402700,0.11464576004399873
06001402800,2.1052623130713
06001402900,2.796704795413106
06001403000,9.617940780044798
06001403100,5.519860075402903
06001403300,15.458603278905102
06001403400,-0.2880375557190007
06001403501,-4.716762940693702
06001403502,4.283787714689698
06001403600,8.7832987335874
06001403701,2.5946819110970996
06001403702,-0.3172487388172005
06001403800,3.19191684101831
06001403900,3.3566761950268997
06001404000,-2.8030899678371703
06001404101,-1.5472409180483204
06001404102,-6.532218359148795
06001404200,-3.9600632477557607
06001404300,-5.349941627366808
06001404400,-3.868884624072499
06001404501,-6.3221513653381205
06001404502,-1.3577469119808798
06001404600,-1.948485376677099
06001404700,-5.5645088879862294
06001404800,-0.4512226814377005
06001404900,-3.150435531499701
06001405000,-5.626830899431851
06001405100,-4.349179575150379
06001405200,-0.3561312068380005
06001405301,5.537246479484303
06001405302,-0.7987280646031962
06001405401,1.133035158332703
06001405402,3.9319147279122006
06001405500,3.200861766256299
06001405600,-2.8412253076363996
06001405700,3.454689299502398
06001405800,3.2206121035328046
06001405901,5.5453282867521025
06001405902,8.084089694378797
06001406000,8.7234139366914
06001406100,16.267921851157404
06001406201,11.254693941828101
06001406202,9.2020522427094
06001406300,4.150380569015695
06001406400,-6.741317236547598
06001406500,7.6579341726252
06001406601,1.8755738228066008
06001406602,8.6685190643312
06001406700,-4.442048199333
06001406800,-1.0196407960354001
06001406900,2.8637115219781
06001407000,3.9987070884062987
06001407101,2.178330404476899
06001407102,5.255223897672803
06001407200,10.8744297652893
06001407300,23.464548133597496
06001407400,10.147612779871999
06001407500,6.272712320901498
06001407600,0.47088808284780015
06001407700,-0.1413660881598009
06001407800,-0.8024189251758997
06001407900,1.9669079197677988
06001408000,-4.6726754594347195
06001408100,0.22995008288050123
06001408200,7.3874599402284975
06001408300,11.7650209535743
06001408400,4.651077004529601
06001408500,5.779377223339306
06001408600,5.671659766144497
06001408700,-0.2017438975875976
06001408800,6.941967542438498
06001408900,13.259347692394101
06001409000,16.1673704620488
06001409100,18.254960206944197
06001409200,-1.3211425049428982
06001409300,-3.682476387218898
06001409400,9.321656268419801
06001409500,14.121466658054906
06001409600,4.364585986996602
06001409700,-1.110608774916102
06001409800,8.248908085431598
06001409900,6.875423915632201
06001410000,2.3332610575643002
06001410100,6.246341499505906
06001410200,1.5328380958454986
06001410300,-3.5598117019743007
06001410400,0.7098368917210998
06001410500,12.256578999474101
06001420100,-1.0624759480432502
06001420200,-1.8294839956760995
06001420300,-8.781967910268598
06001420400,-2.7524190501791033
06001420500,6.2636715461969
06001420600,-11.25384466815727
06001421100,-1.7423015267800492
06001421200,-1.2298982558410394
06001421300,-4.839240675210463
06001421400,-1.1773544662186506
06001421500,-0.5683841026453802
06001421600,-5.22991217702958
06001421700,3.4738598889946894
06001421800,-3.2240147662417797
06001421900,3.311229146948399
06001422000,4.751018338991603
06001422100,1.5982768052795002
06001422200,2.5522241612369996
06001422300,6.047396378800302
06001422400,3.6344099534245
06001422500,3.5078862438823
06001422700,-1.6166744614286017
06001422800,-2.0473216874834996
06001422900,-0.25855601957649554
06001423000,7.9101472621666
06001423100,3.4087088891086985
06001423200,13.187396786244495
06001423300,9.143812697212297
06001423400,-3.1527958605175
06001423500,0.6630131889513997
06001423601,0.5810733104528918
06001423602,-0.9205261413388008
06001423700,-4.890788162898289
06001423800,-3.679693081094979
06001423901,4.823413964281098
06001423902,-0.2896846994894986
06001424001,3.1779137185686004
06001424002,2.6102283815591996
06001425101,7.550509120744799
06001425102,4.546143848663
06001425103,4.482069259664801
06001425104,-0.17342497238630372
06001426100,-5.89428530941626
06001426200,0.8888201375439309
06001427100,-2.1257568871914003
06001427200,14.375657399188206
06001427300,4.105217595317303
06001427600,12.277486650753598
06001427700,6.651888720983001
06001427800,1.6037437889268986
06001427900,1.786659170908802
06001428000,4.313649733589195
06001428100,-1.860034071785499
06001428200,3.0587056436332993
06001428301,-4.811296746628802
06001428302,-1.6759286658055004
06001428400,-6.988546385525101
06001428500,-2.273857591450401
06001428600,-3.6126089284133
06001428700,9.058661640025498
06001430101,5.280334795448649
06001430102,-5.75399137393373
06001430200,-1.803463541575752
06001430300,-3.087503240004059
06001430400,-4.05126983329888
06001430500,10.852158694313399
06001430600,-0.21566879229280111
06001430700,-1.6740214690525992
06001430800,9.730707142154298
06001430900,11.081814629212502
06001431000,8.268075112470402
06001431100,-2.664695639824
06001431200,-0.4725940061157985
06001432100,3.911789416337097
06001432200,-0.9225839767797019
06001432300,-1.2363226831862022
06001432400,8.521281246559298
06001432501,6.092456953827103
06001432502,1.8565431508650008
06001432600,5.116129004959298
06001432700,3.3115593275365
06001432800,-1.4965455517960002
06001433000,-3.7109577547497956
06001433102,4.192535962295306
06001433103,-3.6512694345409997
06001433104,5.298895481995498
06001433200,1.6306374119408034
06001433300,10.270923385725801
06001433400,-7.763690593153402
06001433500,5.431397636068198
06001433600,4.594811138638207
06001433700,7.717066460168599
06001433800,3.3997556784695995
06001433900,10.234041279127208
06001434000,6.958002675956106
06001435102,-1.79719083457843
06001435103,-4.615164544157319
06001435104,9.040099057579098
06001435200,-3.083129398243395
06001435300,-1.6632820470100995
06001435400,8.714637888223994
06001435500,12.491794321569497
06001435601,7.6450213316669995
06001435602,2.3384665226187984
06001435700,2.6904530988725988
06001435800,2.8018542261956014
06001435900,-1.756165964769096
06001436000,4.868681946497201
06001436100,0.39699440518749896
06001436200,-0.8242017661909955
06001436300,2.7580701131782988
06001436401,2.1847245806942013
06001436402,-8.56494002781084
06001436500,5.759093878627301
06001436601,4.9373122564250025
06001436602,7.598810039820403
06001436700,-2.2804280225028
06001436800,10.692606265037298
06001436900,-4.1222697118703024
06001437000,10.994265549694099
06001437101,-1.0903329396460961
06001437102,6.854769216866902
06001437200,-2.7701500247177933
06001437300,5.848749316405797
06001437400,0.7031441117471999
06001437500,-0.2003116451422997
06001437600,0.8425980539687004
06001437701,7.379648396706401
06001437702,-0.2990648665764013
06001437800,1.2949768621859015
06001437900,4.282331805240599
06001438000,7.613422326817002
06001438100,6.651249056404499
06001438201,6.329463274312598
06001438203,0.915741812839002
06001438204,1.2393671417665004
06001438300,10.534079987014398
06001438400,3.5100985065597996
06001440100,4.738126137627798
06001440200,14.052059148431798
06001440301,0.7183271480699958
06001440304,0.3904757137893
06001440305,-3.65757746088919
06001440306,-1.7341721834316992
06001440307,-2.3997670170462975
06001440308,7.1780395557874
06001440331,2.360313714502304
06001440332,-1.4459615690606
06001440333,6.401937489959604
06001440334,-1.4954274444364017
06001440335,-2.015463074814594
06001440336,1.0151198822774
06001441100,0.19439339103660203
06001441200,-0.38701604346419316
06001441301,1.3492270196073015
06001441302,-5.741186850232479
06001441401,-0.027761420778400492
06001441402,-4.8124080272701
06001441501,-5.07519682679549
06001441503,-2.246829133542601
06001441521,-1.2226391018835
06001441522,-0.8550165993638998
06001441523,-5.1589603059599
06001441524,-1.805638402690601
06001441601,-2.861800712960802
06001441602,5.432049641665298
06001441700,1.2778961216728995
06001441800,-3.0887509085371008
06001441921,-7.303067672646701
06001441923,-1.0666288455793982
06001441924,-4.5152561718409014
06001441925,0.802460578618799
06001441926,-1.0825750849515003
06001441927,4.573380779122402
06001442000,-1.3335119779346805
06001442100,3.1203160531721004
06001442200,-4.370390661656501
06001442301,1.9145925377489057
06001442302,-10.504304240133301
06001442400,-0.15532494460030222
06001442500,-0.9142354657241007
06001442601,-2.0228567087740004
06001442602,-1.3493050234628008
06001442700,-4.0557688014972
06001442800,-1.6087977854208937
06001442900,-5.670024551195596
06001443001,-3.589205061311901
06001443002,2.0518998447817047
06001443102,-3.552266944003801
06001443103,-3.6433185099576306
06001443104,-2.032729503511499
06001443105,4.0228926544589
06001443200,-1.85546355311517
06001443301,2.089855770279801
06001443321,-4.7054602070431955
06001443322,-1.0717550381797007
06001444100,-2.0754200991586984
06001444200,3.012880980489898
06001444301,-2.3221119417733007
06001444302,0.5235900848689994
06001444400,4.6316442843712995
06001444500,9.869969032147797
06001444601,5.6314659230861
06001444602,-0.6207352313679024
06001450101,-3.5994538714723046
06001450102,-2.2721750840295005
06001450200,-3.6480429456195207
06001450300,-4.047864360516199
06001450400,-2.9370163325573024
06001450501,-5.584351039047641
06001450502,-7.9741087116534
06001450601,-4.0968524352353795
06001450602,4.8750593075994
06001450603,1.1751552399382028
06001450604,-1.5303726307934014
06001450605,-1.1404535058642296
06001450606,-4.8242286081131995
06001450607,3.6151027396967024
06001450701,-1.4858748072805605
06001450741,-8.73104290445214
06001450742,-10.033696395795928
06001450743,-2.8057522957501995
06001450744,3.361634255656753
06001450745,6.835006625144402
06001450746,-7.176423749909061
06001450750,-3.1291588398909003
06001450751,-0.1328033715208008
06001450752,1.4330059238521002
06001451101,-0.8839495246178011
06001451102,-6.62403531877179
06001451201,8.93349975792508
06001451202,-3.8576186013302003
06001451300,-3.421694028619699
06001451401,-3.8329654350557973
06001451403,-7.262234043836898
06001451404,-4.4064748912574
06001451501,-3.4098908448057017
06001451503,-10.9750174067944
06001451504,-10.2029586079222
06001451505,-8.23800579533814
06001451506,-7.3471351922629005
06001451601,1.1082451004162
06001451602,-7.728801516251901
06001451701,-11.41371263374651
06001451703,-9.599199964885301
06001451704,-6.488002668968551
06001983200,11.118094155149102
06003010000,2.2506288262226004
06005000101,0.9567912325175989
06005000102,1.747331400596499
06005000200,-5.872654930115299
06005000301,-1.7873103999353965
06005000303,0.9278800661173001
06005000304,4.518986976945797
06005000401,4.833343766886003
