county,high_burden_count,high_burden_share
Los Angeles,855,0.3649167733674776
San Bernardino,137,0.3712737127371274
Fresno ,117,0.5879396984924623
Riverside ,74,0.16335540838852097
Kern ,55,0.36423841059602646
San Joaquin,54,0.38848920863309355
Orange ,53,0.09106529209621993
Tulare ,43,0.5512820512820513
Stanislaus ,40,0.425531914893617
Merced ,31,0.6326530612244898
Sacramento ,28,0.08832807570977919
San Diego,18,0.028708133971291867
Alameda ,17,0.04722222222222222
Santa Clara,16,0.043010752688172046
Kings ,12,0.4444444444444444
Madera ,11,0.4782608695652174
Contra Costa,10,0.04830917874396135
Imperial ,7,0.22580645161290322
Ventura ,5,0.028901734104046242
Monterey ,4,0.043010752688172046
Yuba ,3,0.21428571428571427
Yolo ,2,0.04878048780487805
San Francisco,1,0.005128205128205128
Solano ,1,0.010416666666666666
San Mateo,1,0.006369426751592357
