county,2014,2019,2021
Merced ,0.6326530612244898,0.6122448979591837,0.5102040816326531
Fresno ,0.5879396984924623,0.5226130653266332,0.49246231155778897
Imperial ,0.22580645161290322,0.3870967741935484,0.4838709677419355
Tulare ,0.5512820512820513,0.3076923076923077,0.46153846153846156
Kings ,0.4444444444444444,0.25925925925925924,0.4074074074074074
Los Angeles,0.3649167733674776,0.3713188220230474,0.3866837387964149
Kern ,0.36423841059602646,0.31788079470198677,0.36423841059602646
Stanislaus ,0.425531914893617,0.5319148936170213,0.32978723404255317
Madera ,0.4782608695652174,0.30434782608695654,0.30434782608695654
San Joaquin,0.38848920863309355,0.37410071942446044,0.2949640287769784
