county,high_burden_count,total_tracts,high_burden_share,latitude,longitude,county_norm
Alameda ,28.0,360,0.07777777777777778,37.70365105907159,-122.09680778700472,alameda
Alpine ,0.0,1,0.0,38.6176096,-119.7989986,alpine
Amador ,0.0,9,0.0,38.403126742579815,-120.76859766830258,amador
Butte ,1.0,51,0.0196078431372549,39.670093253179346,-121.71892210640253,butte
Calaveras ,0.0,10,0.0,38.16204665461397,-120.6497637041965,calaveras
Colusa ,0.0,5,0.0,39.14232595729001,-122.12744201822504,colusa
Contra Costa,21.0,207,0.10144927536231885,37.93511304427144,-122.02545152207239,contra costa
Del Norte,0.0,7,0.0,41.780164015097284,-124.16045328745591,del norte
El Dorado,0.0,42,0.0,38.742733231915594,-120.74272046045142,el dorado
Fresno ,98.0,199,0.49246231155778897,36.74308641389356,-119.7661059663153,fresno
Glenn ,0.0,6,0.0,39.66135593457249,-122.19006318410067,glenn
Humboldt ,0.0,30,0.0,40.75659908906797,-124.06765047780785,humboldt
Imperial ,15.0,31,0.4838709677419355,32.84558853101477,-115.54272877713073,imperial
Inyo ,0.0,6,0.0,37.10570254859543,-118.11843773097848,inyo
Kern ,55.0,151,0.36423841059602646,35.3673125110058,-118.943541698179,kern
Kings ,11.0,27,0.4074074074074074,36.24365651708595,-119.71925589826134,kings
Lake ,0.0,15,0.0,38.989419698355015,-122.7265975982631,lake
Lassen ,0.0,9,0.0,40.41156014648257,-120.52317473746837,lassen
Los Angeles,906.0,2343,0.3866837387964149,34.06590888628764,-118.24619080424009,los angeles
Madera ,7.0,23,0.30434782608695654,37.049893700333264,-119.99566283611587,madera
Marin ,0.0,55,0.0,37.989113097961095,-122.54721400138915,marin
Mariposa ,0.0,6,0.0,37.53652092853616,-119.94683344196899,mariposa
Mendocino ,0.0,20,0.0,39.290016116858894,-123.39881145887256,mendocino
Merced ,25.0,49,0.5102040816326531,37.28157946848944,-120.62732418388728,merced
Modoc ,0.0,4,0.0,41.55191714250589,-120.65516014319074,modoc
Mono ,0.0,3,0.0,37.75023799042628,-118.90375695930817,mono
Monterey ,2.0,93,0.021505376344086023,36.610573581216634,-121.64090407500773,monterey
Napa ,0.0,40,0.0,38.33322101579396,-122.32225458601161,napa
Nevada ,0.0,20,0.0,39.22248826986115,-120.88960589722805,nevada
Orange ,55.0,582,0.09450171821305842,33.73262719328437,-117.85964324339467,orange
Placer ,0.0,84,0.0,38.84523538436988,-121.19587959670854,placer
Plumas ,0.0,7,0.0,40.01023221383173,-120.84736959407289,plumas
Riverside ,53.0,453,0.11699779249448124,33.79823558885736,-117.07927227438903,riverside
Sacramento ,35.0,317,0.11041009463722397,38.56791141697809,-121.38097379044875,sacramento
San Benito,0.0,11,0.0,36.830957190249435,-121.38415100909302,san benito
San Bernardino,93.0,369,0.25203252032520324,34.191525026885934,-117.36114988596265,san bernardino
San Diego,36.0,627,0.05741626794258373,32.8829923103432,-117.11197954345879,san diego
San Francisco,8.0,195,0.041025641025641026,37.760105291513334,-122.43855476285572,san francisco
San Joaquin,41.0,139,0.2949640287769784,37.92867105492814,-121.29993727850172,san joaquin
San Luis Obispo,0.0,53,0.0,35.334683657480554,-120.64685185618414,san luis obispo
San Mateo,3.0,157,0.01910828025477707,37.56439776677582,-122.33940067833542,san mateo
Santa Barbara,1.0,89,0.011235955056179775,34.643171114060685,-120.09723315725233,santa barbara
Santa Clara,4.0,372,0.010752688172043012,37.315590335756504,-121.90940022554457,santa clara
Santa Cruz,1.0,52,0.019230769230769232,36.986829208817284,-121.93599865716888,santa cruz
Shasta ,0.0,48,0.0,40.58344585774724,-122.29328465256289,shasta
Sierra ,0.0,1,0.0,39.5769252,-120.5219926,sierra
Siskiyou ,0.0,14,0.0,41.572268013209715,-122.50848355284577,siskiyou
Solano ,5.0,96,0.052083333333333336,38.23604836364408,-122.06786470275424,solano
Sonoma ,0.0,99,0.0,38.41170639997619,-122.72156291266197,sonoma
Stanislaus ,31.0,94,0.32978723404255317,37.61961724829324,-120.95506823365888,stanislaus
Sutter ,4.0,21,0.19047619047619047,39.136166262680916,-121.65048565935138,sutter
Tehama ,0.0,11,0.0,40.10968128569752,-122.22849075576104,tehama
Trinity ,0.0,5,0.0,40.762384757125986,-123.02009591166141,trinity
Tulare ,36.0,78,0.46153846153846156,36.25561826643718,-119.23241041816678,tulare
Tuolumne ,0.0,11,0.0,37.99619802989916,-120.22870132259042,tuolumne
Ventura ,6.0,173,0.03468208092485549,34.2417057049929,-119.02728243171885,ventura
Yolo ,4.0,41,0.0975609756097561,38.60717825583754,-121.7244861309222,yolo
Yuba ,2.0,14,0.14285714285714285,39.133352103408846,-121.51003754998037,yuba
