county,high_burden_count,high_burden_share
Los Angeles,906,0.3866837387964149
Fresno ,98,0.49246231155778897
San Bernardino,93,0.25203252032520324
Orange ,55,0.09450171821305842
Kern ,55,0.36423841059602646
Riverside ,53,0.11699779249448124
San Joaquin,41,0.2949640287769784
Tulare ,36,0.46153846153846156
San Diego,36,0.05741626794258373
Sacramento ,35,0.11041009463722397
Stanislaus ,31,0.32978723404255317
Alameda ,28,0.07777777777777778
Merced ,25,0.5102040816326531
Contra Costa,21,0.10144927536231885
Imperial ,15,0.4838709677419355
Kings ,11,0.4074074074074074
San Francisco,8,0.041025641025641026
Madera ,7,0.30434782608695654
Ventura ,6,0.03468208092485549
Solano ,5,0.052083333333333336
Yolo ,4,0.0975609756097561
Santa Clara,4,0.010752688172043012
Sutter ,4,0.19047619047619047
San Mateo,3,0.01910828025477707
Monterey ,2,0.021505376344086023
Yuba ,2,0.14285714285714285
Butte ,1,0.0196078431372549
Santa Barbara,1,0.011235955056179775
Santa Cruz,1,0.019230769230769232
